Name;ATT;MID;DEF;OVR
Inter;85;82;83;83
Juventus;82;81;81;82
Milan;80;81;81;81
Roma;82;77;81;80
Napoli FC;80;81;80;80
Latium;80;80;77;79
Bergamo Calcio;78;79;77;79
Fiorentina;77;78;78;78
Bologna;82;74;73;75
Sassuolo;77;75;73;75
Udinese;77;74;74;75
Monza;76;75;75;75
Torino;76;74;73;74
Salernitana;76;73;72;74
Empoli;74;73;72;74
Hellas Verona;73;74;72;74
Sampdoria;74;72;73;73
La Spezia;74;72;72;73
Lecce;72;71;73;73
Cremonese;71;71;72;71
