Name;ATT;MID;DEF;OVR
Bayern Munchen;83;85;84;85
RB Leipzig;83;81;80;81
Borussia Dortmund;82;80;81;81
Leverkusen;80;79;80;79
Frankfurt;78;78;77;78
M'gladbach;79;78;76;77
TSG Hoffenheim;77;77;76;77
SC Freiburg;77;75;77;76
VfL Wolfsburg;76;76;76;76
1. FSV Mainz 05;76;75;74;75
Union Berlin;76;74;75;75
Hertha Berlin;75;75;73;74
VfB Stuttgart;74;74;76;74
FC Augsburg;73;74;74;74
1. FC Koln;71;74;74;74
SV Werder Bremen;75;71;74;73
FC Schalke 04;74;71;72;73
VfL Bochum;73;73;72;73
