Name;ATT;MID;DEF;OVR
Manchester City;85;87;84;85
Liverpool;84;82;84;84
Chelsea;83;79;83;83
Spurs;84;83;80;82
Manchester Utd;82;83;81;82
Arsenal;81;83;80;81
Leicester City;82;80;76;79
West Ham;79;80;78;79
Newcastle Utd;79;78;79;79
Aston Villa;78;79;79;79
Wolves;78;80;74;78
Everton;78;77;76;77
Nott'm Forest;75;76;77;77
Crystal Palace;77;76;76;76
Leeds United;77;76;75;76
Fulham;77;76;74;76
Southampton;76;72;76;76
Brighton;75;76;77;76
Brentford;76;75;74;75
AFC Bournemouth;72;73;73;74
