Date,HomeTeam,AwayTeam,FTR,h_course,d_course,a_course,h_pts_avg3,h_pts_avg5,h_pts_avg7,h_pts_std3,h_pts_std5,h_pts_std7,h_gz_avg3,h_gz_avg5,h_gz_avg7,h_gz_std3,h_gz_std5,h_gz_std7,h_gs_avg3,h_gs_avg5,h_gs_avg7,h_gs_std3,h_gs_std5,h_gs_std7,h_sh_od_avg3,h_sh_od_avg5,h_sh_od_avg7,h_sh_od_std3,h_sh_od_std5,h_sh_od_std7,h_sh_ot_avg3,h_sh_ot_avg5,h_sh_ot_avg7,h_sh_ot_std3,h_sh_ot_std5,h_sh_ot_std7,h_sot_od_avg3,h_sot_od_avg5,h_sot_od_avg7,h_sot_od_std3,h_sot_od_std5,h_sot_od_std7,h_sot_ot_avg3,h_sot_ot_avg5,h_sot_ot_avg7,h_sot_ot_std3,h_sot_ot_std5,h_sot_ot_std7,h_cw_avg3,h_cw_avg5,h_cw_avg7,h_cw_std3,h_cw_std5,h_cw_std7,h_cb_avg3,h_cb_avg5,h_cb_avg7,h_cb_std3,h_cb_std5,h_cb_std7,h_yc_avg3,h_yc_avg5,h_yc_avg7,h_yc_std3,h_yc_std5,h_yc_std7,h_rc_avg3,h_rc_avg5,h_rc_avg7,h_rc_std3,h_rc_std5,h_rc_std7,h_pts_per_math,h_gz,h_gs,h_sh_od,h_sh_ot,h_cw,h_cb,h_pozycja,a_pts_avg3,a_pts_avg5,a_pts_avg7,a_pts_std3,a_pts_std5,a_pts_std7,a_gz_avg3,a_gz_avg5,a_gz_avg7,a_gz_std3,a_gz_std5,a_gz_std7,a_gs_avg3,a_gs_avg5,a_gs_avg7,a_gs_std3,a_gs_std5,a_gs_std7,a_sh_od_avg3,a_sh_od_avg5,a_sh_od_avg7,a_sh_od_std3,a_sh_od_std5,a_sh_od_std7,a_sh_ot_avg3,a_sh_ot_avg5,a_sh_ot_avg7,a_sh_ot_std3,a_sh_ot_std5,a_sh_ot_std7,a_sot_od_avg3,a_sot_od_avg5,a_sot_od_avg7,a_sot_od_std3,a_sot_od_std5,a_sot_od_std7,a_sot_ot_avg3,a_sot_ot_avg5,a_sot_ot_avg7,a_sot_ot_std3,a_sot_ot_std5,a_sot_ot_std7,a_cw_avg3,a_cw_avg5,a_cw_avg7,a_cw_std3,a_cw_std5,a_cw_std7,a_cb_avg3,a_cb_avg5,a_cb_avg7,a_cb_std3,a_cb_std5,a_cb_std7,a_yc_avg3,a_yc_avg5,a_yc_avg7,a_yc_std3,a_yc_std5,a_yc_std7,a_rc_avg3,a_rc_avg5,a_rc_avg7,a_rc_std3,a_rc_std5,a_rc_std7,a_pts_per_math,a_gz,a_gs,a_sh_od,a_sh_ot,a_cw,a_cb,a_pozycja,position_dst
2020-09-19,Verona,Roma,D,3.75,3.5,1.95,0.6666666666666666,0.8,0.5714285714285714,0.4714045207910317,0.4,0.4948716593053935,1.3333333333333333,1.2,1.0,0.4714045207910317,0.4000000000000001,0.5345224838248488,1.6666666666666667,1.4,1.4285714285714286,0.4714045207910317,0.4898979485566356,0.4948716593053935,9.666666666666666,11.0,11.142857142857142,1.8856180831641267,4.381780460041329,3.7197761617975815,12.666666666666666,11.2,10.428571428571429,2.8674417556808756,3.4292856398964493,3.2450904833144416,3.6666666666666665,4.8,4.571428571428571,1.247219128924647,1.7204650534085253,2.1946130708196026,4.0,3.6,3.857142857142857,0.816496580927726,1.019803902718557,0.989743318610787,5.333333333333333,6.0,6.142857142857143,2.6246692913372702,2.5298221281347035,2.2946254863155726,3.0,3.4,3.2857142857142856,2.160246899469287,1.854723699099141,1.577908716741037,2.6666666666666665,3.4,3.142857142857143,1.247219128924647,1.624807680927192,1.4568627181693672,3.0,2.8,2.4285714285714284,0.0,0.39999999999999997,1.049781318335648,,,,,,,,,1.3333333333333333,1.4,1.1428571428571428,1.247219128924647,1.3564659966250538,1.2453996981544782,1.6666666666666667,2.0,1.8571428571428572,0.4714045207910317,1.6733200530681511,1.456862718169367,1.6666666666666667,1.4,1.5714285714285714,1.247219128924647,1.2000000000000002,1.178030178747903,14.666666666666666,14.8,14.285714285714286,1.699673171197595,3.4292856398964493,3.0572763655760995,13.666666666666666,12.0,13.142857142857142,3.2998316455372216,3.63318042491699,4.793703353017863,6.0,7.2,6.571428571428571,3.265986323710904,3.8678159211627436,3.5799897388976194,6.333333333333333,6.0,6.428571428571429,1.8856180831641267,2.6832815729997477,2.498979383505129,4.666666666666667,6.0,6.285714285714286,2.494438257849294,2.5298221281347035,2.7105237087157534,4.666666666666667,5.2,5.428571428571429,0.4714045207910317,1.469693845669907,1.6781914463529615,2.3333333333333335,2.4,2.4285714285714284,1.247219128924647,1.019803902718557,1.178030178747903,0.6666666666666666,0.4,1.0,0.9428090415820634,0.8000000000000002,1.1952286093343936,,,,,,,,,
2020-09-20,Parma,Napoli,A,5.25,4.2,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6,1.0,0.4714045207910317,0.7999999999999999,1.0690449676496976,2.3333333333333335,2.6,2.857142857142857,0.9428090415820634,1.4966629547095767,1.355261854357877,12.666666666666666,10.2,10.857142857142858,2.357022603955158,3.655133376499413,3.522522287410844,13.666666666666666,14.4,14.142857142857142,1.247219128924647,2.0591260281974,1.8070158058105024,4.666666666666667,3.4,3.5714285714285716,2.8674417556808756,2.727636339397171,2.321153829895989,7.333333333333333,8.0,7.571428571428571,3.39934634239519,3.7416573867739413,3.331972511340172,2.6666666666666665,2.2,3.4285714285714284,0.9428090415820634,0.9797958971132712,2.1285234893930487,7.0,5.8,5.714285714285714,4.08248290463863,3.54400902933387,3.010186786529354,1.6666666666666667,1.8,2.0,0.9428090415820634,0.9797958971132713,0.9258200997725514,0.6666666666666666,0.6,1.0,0.4714045207910317,0.48989794855663565,0.7559289460184544,,,,,,,,,2.3333333333333335,2.2,2.4285714285714284,0.9428090415820634,0.9797958971132712,0.9035079029052513,2.6666666666666665,2.6,2.857142857142857,1.699673171197595,1.624807680927192,1.6413036132965795,0.6666666666666666,0.8,0.8571428571428571,0.4714045207910317,0.4000000000000001,0.6388765649999398,18.333333333333332,17.2,17.285714285714285,2.0548046676563256,2.6381811916545836,4.589250972631146,6.333333333333333,7.4,9.428571428571429,0.9428090415820634,2.4166091947189146,3.8119040183218096,7.666666666666667,7.2,7.714285714285714,3.6817870057290873,2.9257477676655586,2.657296462534039,3.0,3.8,4.142857142857143,0.816496580927726,1.7204650534085253,1.6413036132965795,6.333333333333333,4.8,5.285714285714286,1.247219128924647,2.1354156504062622,3.1036515689143473,3.0,2.2,3.142857142857143,0.0,0.9797958971132712,2.166535841157586,1.3333333333333333,1.4,1.7142857142857142,1.247219128924647,1.019803902718557,1.2777531299998797,3.3333333333333335,3.2,3.2857142857142856,1.699673171197595,1.32664991614216,1.160576914947994,,,,,,,,,
2020-09-20,Genoa,Crotone,H,1.9,3.6,4.0,2.0,1.2,1.4285714285714286,1.4142135623730951,1.4696938456699067,1.3997084244475304,2.0,2.0,2.0,0.816496580927726,0.8944271909999159,0.7559289460184544,1.3333333333333333,2.0,1.7142857142857142,1.8856180831641267,1.7888543819998317,1.6659862556700855,11.0,11.2,11.0,0.816496580927726,1.16619037896906,1.0690449676496976,15.666666666666666,15.6,13.285714285714286,1.247219128924647,1.8547236990991407,3.989782869648269,7.0,6.2,6.0,1.632993161855452,1.6,1.4142135623730951,7.333333333333333,8.2,6.285714285714286,0.4714045207910317,1.9390719429665317,3.4522988495984492,3.3333333333333335,4.4,3.5714285714285716,0.9428090415820634,1.9595917942265424,2.2587697572631282,8.0,6.6,5.142857142857143,3.265986323710904,3.4409301068170506,3.7958086444532637,2.6666666666666665,2.8,2.5714285714285716,1.247219128924647,1.16619037896906,1.049781318335648,1.3333333333333333,1.4,1.2857142857142858,0.4714045207910317,1.019803902718557,1.0301575072754257,,,,,,,,,1.6666666666666667,1.0,1.1428571428571428,0.9428090415820634,1.0954451150103321,1.2453996981544782,1.0,0.6,1.0,0.816496580927726,0.7999999999999999,1.4142135623730951,0.6666666666666666,1.8,1.8571428571428572,0.4714045207910317,1.7204650534085253,1.5518257844571737,9.0,8.0,8.571428571428571,2.449489742783178,2.280350850198276,2.6649654437396615,13.666666666666666,16.8,15.714285714285714,3.7712361663282534,4.915282290977803,4.6202747510846365,3.3333333333333335,2.6,3.142857142857143,0.9428090415820634,1.2,1.355261854357877,5.333333333333333,7.8,6.857142857142857,4.0276819911981905,4.445222154178574,4.050699108216522,3.3333333333333335,3.6,3.5714285714285716,2.494438257849294,1.9595917942265426,1.8405855323893037,7.333333333333333,8.2,7.714285714285714,1.699673171197595,1.9390719429665315,1.8294640678379568,2.3333333333333335,1.6,1.5714285714285714,0.4714045207910317,1.019803902718557,0.9035079029052513,1.6666666666666667,1.8,1.8571428571428572,0.4714045207910317,0.4,0.6388765649999399,,,,,,,,,
2020-09-20,Sassuolo,Cagliari,D,1.95,3.75,3.75,2.0,2.0,2.2857142857142856,1.4142135623730951,1.2649110640673518,1.1605769149479943,2.0,1.8,1.7142857142857142,0.816496580927726,0.7483314773547883,0.6998542122237652,1.3333333333333333,1.2,1.0,1.247219128924647,0.9797958971132713,0.9258200997725514,14.0,13.4,13.714285714285714,2.943920288775949,2.4166091947189146,2.1189138534559038,13.0,12.4,12.714285714285714,2.943920288775949,2.5768197453450252,3.282607226593159,6.666666666666667,6.8,7.0,3.8586123009300755,2.993325909419153,2.5634797778466227,6.0,6.4,6.0,2.8284271247461903,2.5768197453450252,2.5071326821120348,6.0,4.8,5.571428571428571,4.242640687119285,3.6551333764994136,3.331972511340171,3.3333333333333335,4.4,4.0,1.247219128924647,2.0591260281974,1.8516401995451028,1.0,1.8,1.4285714285714286,0.816496580927726,2.227105745132009,1.9897697538834456,1.3333333333333333,1.4,1.0,0.4714045207910317,0.4898979485566356,0.7559289460184544,,,,,,,,,0.6666666666666666,1.2,1.7142857142857142,0.4714045207910317,0.9797958971132712,1.1605769149479943,0.0,0.8,1.1428571428571428,0.0,1.1661903789690602,1.2453996981544782,0.3333333333333333,0.6,0.7142857142857143,0.4714045207910317,0.48989794855663565,0.6998542122237652,9.666666666666666,9.6,10.142857142857142,4.496912521077347,3.8262252939417984,3.440455593940656,11.0,11.6,12.0,7.3484692283495345,6.711184694225007,5.732115042211108,3.3333333333333335,4.2,4.571428571428571,2.6246692913372702,2.4819347291981715,2.1946130708196026,3.0,4.4,4.714285714285714,2.160246899469287,2.4166091947189146,2.249716535431946,6.0,4.8,4.714285714285714,2.160246899469287,2.5612496949731396,2.1852940772540506,4.666666666666667,4.2,4.714285714285714,3.299831645537222,2.6381811916545836,3.1943828249996997,1.3333333333333333,1.8,2.0,0.4714045207910317,0.7483314773547883,0.7559289460184544,2.6666666666666665,2.2,1.7142857142857142,0.9428090415820634,0.9797958971132712,1.1605769149479943,,,,,,,,,
2020-09-20,Juventus,Sampdoria,H,1.28,5.5,10.5,3.0,2.4,2.2857142857142856,0.0,1.2,1.1605769149479943,3.3333333333333335,2.4,2.2857142857142856,0.4714045207910317,1.3564659966250538,1.2777531299998797,1.3333333333333333,1.6,1.4285714285714286,0.4714045207910317,0.8,0.7284313590846836,15.333333333333334,15.0,13.714285714285714,2.6246692913372702,2.280350850198276,3.368521749300456,14.0,12.0,11.571428571428571,4.96655480858378,4.732863826479693,4.06578556307363,8.666666666666666,6.8,6.142857142857143,1.699673171197595,2.6381811916545836,3.0904725218262765,3.6666666666666665,3.8,4.142857142857143,0.9428090415820634,1.469693845669907,1.4568627181693672,3.0,4.6,4.428571428571429,2.160246899469287,2.6532998322843198,2.498979383505129,3.0,2.6,3.7142857142857144,0.0,0.4898979485566356,1.8294640678379568,3.0,2.2,2.0,1.4142135623730951,1.6,1.4142135623730951,2.3333333333333335,2.4,2.4285714285714284,1.8856180831641267,1.4966629547095764,1.2936264483053452,,,,,,,,,2.3333333333333335,2.0,1.8571428571428572,0.9428090415820634,1.2649110640673518,1.3552618543578767,2.0,1.8,1.4285714285714286,0.816496580927726,0.7483314773547883,0.9035079029052513,0.6666666666666666,1.4,1.1428571428571428,0.9428090415820634,1.9595917942265426,1.7261494247992248,13.666666666666666,13.2,12.285714285714286,1.247219128924647,1.1661903789690602,1.8294640678379568,10.666666666666666,10.8,10.714285714285714,1.247219128924647,1.1661903789690602,2.1189138534559038,5.333333333333333,5.8,5.285714285714286,0.9428090415820634,1.8330302779823362,1.8294640678379568,3.3333333333333335,4.4,4.857142857142857,2.6246692913372702,2.4979991993593593,2.4743582965269675,3.3333333333333335,5.2,5.0,1.247219128924647,2.4819347291981715,2.2677868380553634,5.0,5.0,5.0,0.816496580927726,2.0,2.32992949004287,1.3333333333333333,1.2,1.0,0.4714045207910317,0.7483314773547883,0.7559289460184544,2.0,1.8,1.4285714285714286,0.816496580927726,1.1661903789690602,1.178030178747903,,,,,,,,,
2020-09-21,Milan,Bologna,H,1.57,4.33,5.5,2.3333333333333335,2.6,1.8571428571428572,0.9428090415820634,0.8000000000000002,1.355261854357877,3.0,2.8,2.142857142857143,2.943920288775949,2.315167380558045,2.2314999074019015,0.0,0.0,0.7142857142857143,0.0,0.0,1.1605769149479943,13.666666666666666,14.4,15.0,5.312459150169743,5.083306010855534,4.47213595499958,10.333333333333334,12.2,12.857142857142858,3.2998316455372216,3.4871191548325386,3.136356914300021,6.0,7.0,6.857142857142857,3.559026084010437,3.40587727318528,2.8996833043120622,1.3333333333333333,2.0,3.2857142857142856,0.4714045207910317,1.0954451150103321,2.249716535431946,4.0,4.0,4.571428571428571,3.7416573867739413,3.1622776601683795,3.2450904833144416,4.0,5.4,5.0,2.160246899469287,2.4166091947189146,2.6726124191242437,2.0,2.0,1.4285714285714286,0.816496580927726,0.6324555320336759,1.0497813183356477,2.3333333333333335,1.8,1.7142857142857142,0.4714045207910317,0.9797958971132713,0.880630571852711,,,,,,,,,0.3333333333333333,0.6,0.5714285714285714,0.4714045207910317,0.48989794855663565,0.4948716593053935,1.0,1.4,1.1428571428571428,0.816496580927726,1.019803902718557,0.989743318610787,2.6666666666666665,2.4,2.5714285714285716,0.9428090415820634,1.019803902718557,1.3997084244475304,16.0,15.0,13.285714285714286,2.160246899469287,2.6076809620810595,3.493434074467852,14.0,12.0,14.857142857142858,3.559026084010437,3.687817782917155,5.890150893739515,6.0,5.6,4.714285714285714,1.4142135623730951,1.3564659966250536,1.8294640678379568,8.333333333333334,6.8,7.285714285714286,2.494438257849294,2.7129319932501073,3.0572763655760995,6.333333333333333,6.4,5.428571428571429,4.0276819911981905,3.8262252939417984,3.579989738897619,2.6666666666666665,3.6,4.714285714285714,1.8856180831641267,1.8547236990991407,2.3733211036908783,1.6666666666666667,1.6,1.8571428571428572,0.9428090415820634,0.8,1.124858267715973,2.6666666666666665,2.2,1.8571428571428572,0.4714045207910317,0.7483314773547882,0.989743318610787,,,,,,,,,
2020-09-26,Torino,Atalanta,A,4.75,4.4,1.61,0.3333333333333333,1.0,0.8571428571428571,0.4714045207910317,1.0954451150103321,0.989743318610787,0.3333333333333333,0.6,0.5714285714285714,0.4714045207910317,0.48989794855663565,0.4948716593053935,3.6666666666666665,2.4,2.142857142857143,2.8674417556808756,2.727636339397171,2.3560603574958066,8.666666666666666,9.0,11.142857142857142,3.7712361663282534,3.687817782917155,4.672979209656035,16.333333333333332,15.2,15.714285714285714,3.299831645537222,4.534313619501853,5.799366608624126,2.6666666666666665,3.4,4.0,1.247219128924647,1.3564659966250536,1.5118578920369088,11.0,8.2,7.571428571428571,0.0,3.919183588453085,4.06578556307363,2.6666666666666665,3.2,4.428571428571429,2.494438257849294,2.1354156504062622,2.6649654437396615,3.3333333333333335,4.2,5.0,0.4714045207910317,2.4819347291981715,3.251373336211726,2.3333333333333335,2.0,2.142857142857143,2.0548046676563256,1.8973665961010275,1.6413036132965795,2.6666666666666665,2.8,2.7142857142857144,1.247219128924647,0.9797958971132712,1.1605769149479943,,,,,,,,14.0,2.0,2.0,2.0,1.4142135623730951,1.2649110640673518,1.1952286093343936,2.0,2.4,2.5714285714285716,1.632993161855452,1.854723699099141,1.9166296949998196,1.6666666666666667,1.6,1.2857142857142858,1.247219128924647,1.019803902718557,1.0301575072754254,13.0,13.4,16.428571428571427,1.4142135623730951,2.8000000000000003,5.447335989982177,6.666666666666667,7.4,8.571428571428571,2.8674417556808756,3.2619012860600183,3.5799897388976194,4.0,6.8,7.857142857142857,2.449489742783178,4.1182520563948,3.9434782119549316,3.6666666666666665,4.0,3.7142857142857144,2.494438257849294,2.5298221281347035,2.1852940772540506,4.666666666666667,4.2,5.285714285714286,1.699673171197595,1.4696938456699071,2.1189138534559038,2.3333333333333335,2.4,2.7142857142857144,2.0548046676563256,1.8547236990991407,1.665986255670086,2.3333333333333335,1.8,1.5714285714285714,0.4714045207910317,0.7483314773547883,0.9035079029052513,3.0,3.2,3.0,1.632993161855452,2.039607805437114,1.927248223318863,,,,,,,,,
2020-09-26,Cagliari,Lazio,A,5.0,4.0,1.66,0.6666666666666666,1.2,1.7142857142857142,0.4714045207910317,0.9797958971132712,1.1605769149479943,0.0,0.8,1.1428571428571428,0.0,1.1661903789690602,1.2453996981544782,0.3333333333333333,0.6,0.7142857142857143,0.4714045207910317,0.48989794855663565,0.6998542122237652,9.666666666666666,9.6,10.142857142857142,4.496912521077347,3.8262252939417984,3.440455593940656,11.0,11.6,12.0,7.3484692283495345,6.711184694225007,5.732115042211108,3.3333333333333335,4.2,4.571428571428571,2.6246692913372702,2.4819347291981715,2.1946130708196026,3.0,4.4,4.714285714285714,2.160246899469287,2.4166091947189146,2.249716535431946,6.0,4.8,4.714285714285714,2.160246899469287,2.5612496949731396,2.1852940772540506,4.666666666666667,4.2,4.714285714285714,3.299831645537222,2.6381811916545836,3.1943828249996997,1.3333333333333333,1.8,2.0,0.4714045207910317,0.7483314773547883,0.7559289460184544,2.6666666666666665,2.2,1.7142857142857142,0.9428090415820634,0.9797958971132712,1.1605769149479943,,,,,,,,11.0,0.3333333333333333,0.8,1.4285714285714286,0.4714045207910317,1.1661903789690602,1.3997084244475304,0.0,0.2,1.1428571428571428,0.0,0.4,1.5518257844571737,1.3333333333333333,1.2,1.2857142857142858,0.9428090415820634,0.9797958971132713,1.1605769149479943,13.333333333333334,12.4,13.428571428571429,5.436502143433364,4.758150901348127,4.467570220317683,9.666666666666666,9.8,10.571428571428571,2.8674417556808756,2.315167380558045,2.6649654437396615,6.0,5.4,6.428571428571429,3.7416573867739413,3.1368774282716245,3.499271061118826,3.6666666666666665,4.2,4.571428571428571,1.247219128924647,1.16619037896906,1.178030178747903,3.6666666666666665,5.0,4.714285714285714,0.4714045207910317,1.6733200530681511,2.1852940772540506,2.3333333333333335,2.8,3.857142857142857,1.699673171197595,1.7204650534085253,2.5872528966106905,2.3333333333333335,3.2,3.0,1.247219128924647,2.6381811916545836,2.2677868380553634,1.3333333333333333,2.2,2.142857142857143,0.9428090415820634,1.32664991614216,1.5518257844571737,,,,,,,,,
2020-09-26,Sampdoria,Benevento,A,2.0,3.6,3.6,2.3333333333333335,2.0,1.8571428571428572,0.9428090415820634,1.2649110640673518,1.3552618543578767,2.0,1.8,1.4285714285714286,0.816496580927726,0.7483314773547883,0.9035079029052513,0.6666666666666666,1.4,1.1428571428571428,0.9428090415820634,1.9595917942265426,1.7261494247992248,13.666666666666666,13.2,12.285714285714286,1.247219128924647,1.1661903789690602,1.8294640678379568,10.666666666666666,10.8,10.714285714285714,1.247219128924647,1.1661903789690602,2.1189138534559038,5.333333333333333,5.8,5.285714285714286,0.9428090415820634,1.8330302779823362,1.8294640678379568,3.3333333333333335,4.4,4.857142857142857,2.6246692913372702,2.4979991993593593,2.4743582965269675,3.3333333333333335,5.2,5.0,1.247219128924647,2.4819347291981715,2.2677868380553634,5.0,5.0,5.0,0.816496580927726,2.0,2.32992949004287,1.3333333333333333,1.2,1.0,0.4714045207910317,0.7483314773547883,0.7559289460184544,2.0,1.8,1.4285714285714286,0.816496580927726,1.1661903789690602,1.178030178747903,,,,,,,,16.0,0.3333333333333333,0.2,0.2857142857142857,0.4714045207910317,0.4000000000000001,0.45175395145262565,0.6666666666666666,0.8,1.2857142857142858,0.4714045207910317,0.7483314773547883,1.0301575072754257,2.0,2.4,2.7142857142857144,0.816496580927726,1.019803902718557,1.2777531299998799,9.666666666666666,13.0,12.714285714285714,6.79869268479038,7.127411872482185,6.40790328343023,9.0,11.4,11.285714285714286,3.559026084010437,5.122499389946279,4.365916225696035,6.333333333333333,6.0,5.714285714285714,4.109609335312651,3.8987177379235853,3.692242280948596,3.3333333333333335,5.6,5.857142857142857,0.9428090415820634,3.1368774282716245,2.799416848895061,5.666666666666667,7.0,5.571428571428571,1.699673171197595,2.449489742783178,3.2450904833144416,5.333333333333333,4.8,4.571428571428571,1.247219128924647,1.7204650534085253,1.5907898179514348,3.0,2.2,2.0,1.4142135623730951,1.6,1.6035674514745464,2.0,2.0,2.0,0.0,0.0,0.0,,,,,,,,,
2020-09-26,Inter,Fiorentina,H,1.5,4.5,6.0,2.0,2.4,2.2857142857142856,1.4142135623730951,1.2000000000000002,1.1605769149479943,3.3333333333333335,3.4,2.7142857142857144,1.247219128924647,1.3564659966250538,1.577908716741037,1.6666666666666667,1.2,1.0,0.9428090415820634,0.9797958971132713,0.9258200997725514,11.333333333333334,13.8,13.428571428571429,3.0912061651652345,5.192301994298868,4.624689730353899,12.666666666666666,11.4,10.0,3.681787005729087,3.9293765408777,4.956957592256421,5.666666666666667,6.8,6.285714285714286,2.494438257849294,2.5612496949731396,2.3733211036908783,5.0,4.0,3.142857142857143,2.160246899469287,2.280350850198276,2.356060357495806,3.6666666666666665,4.8,5.0,0.9428090415820634,3.249615361854384,3.070597894314954,4.666666666666667,5.2,4.857142857142857,2.494438257849294,2.4000000000000004,2.996596709057576,2.0,1.6,1.1428571428571428,2.160246899469287,1.8547236990991407,1.7261494247992248,3.0,2.4,2.4285714285714284,2.160246899469287,1.8547236990991407,1.5907898179514348,,,,,,,,,0.6666666666666666,1.2,1.4285714285714286,0.4714045207910317,0.9797958971132712,1.0497813183356477,0.0,1.0,1.1428571428571428,0.0,1.2649110640673518,1.124858267715973,0.6666666666666666,1.0,1.0,0.9428090415820634,1.2649110640673518,1.0690449676496976,6.666666666666667,7.6,8.0,3.6817870057290873,3.0724582991474434,2.878491668515698,12.333333333333334,11.2,10.571428571428571,4.4969125210773475,3.8678159211627436,3.5799897388976194,2.0,3.0,3.7142857142857144,1.4142135623730951,1.6733200530681511,1.8294640678379568,4.333333333333333,4.4,4.285714285714286,2.8674417556808756,2.4166091947189146,2.602981022612657,3.0,3.8,4.142857142857143,1.632993161855452,1.6,1.8070158058105026,5.0,5.0,4.571428571428571,1.4142135623730951,1.6733200530681511,1.761261143705422,3.0,3.0,3.0,1.4142135623730951,1.2649110640673518,1.0690449676496976,1.3333333333333333,2.8,2.4285714285714284,0.4714045207910317,2.638181191654584,2.3211538298959886,,,,,,,,4.0,
